author,author_cat
Darrell Lucus,2191
Daniel J. Flynn,2114
Consortiumnews.com,1863
Jessica Purkiss,4372
Howard Portnoy,3564
Daniel Nussbaum,2125
Alissa J. Rubin,522
Megan Twohey and Scott Shane,6177
Aaron Klein,236
Chris Tomlinson,1754
Amando Flavio,577
Jason Ditz,4189
AnotherAnnie,905
Jack Williams,3971
Michael Corkery and Stacy Cowley,6257
Starkman,8591
The Doc,8906
Jeff Poor,4230
Jerome Hudson,4315
Pam Key,7042
Donald G. McNeil Jr. and Pam Belluck,2508
Ira Helfand,3685
Aaron Klein and Ali Waked,237
Amanda Shea,573
Jim Dwyer,4387
Mark Landler,5924
Ian Hanchett,3626
Steven Erlanger,8660
Clifford Krauss,1832
"Leslie Picker, Danny Hakim and Michael J. de la Merced",5437
Andrew Higgins,675
greanfinisher .,9573
b,9502
AWR Hawkins,188
Aaron E. Carroll,233
Dr. Susan Berry,2537
Alexandria Laredo,471
Katie Rogers,5066
Ian Mason,3635
"Jim Rutenberg, Ben Protess and Emily Steel",4394
"Gordon Duff, Senior Editor",3241
Brian X. Chen,1373
Virginia Hale,9285
Lance Schuttler,5321
Nate Church,6660
Madeline,5807
M.R. Islam,5630
Jeff Gordinier,4229
Neil Irwin,6697
Anonymous Coward (UID 12781064),858
Kenneth Chang and Sewell Chan,5119
Truth Broadcast Network,9153
A. O. Scott,31
Kristina Wong,5242
Admin,319
Jeremy W. Peters,4292
Jason Easley,4191
Chris Black,1704
Ivan the Stakhanovets,3720
Jacey Fortin,3936
Brett Anderson,1353
Jane Perlez,4161
Josh Katz,4701
Redflag Newsdesk,7658
Andrea Kannapell and Sandra Stevenson,660
Breitbart London,1339
Steve Sailer,8653
Scott Osborn,8319
"Nicholas Kulish, Vivian Yee, Caitlin Dickerson, Liz Robbins, Fernanda Santos and Jennifer Medina",6755
Niraj Chokshi and Liam Stack,6890
Heather Callaghan,3443
Jack Healy,3950
Kayla Brandon,5089
Amanda Hess,551
Mike Birbiglia,6451
Mac Slavo,5805
Nicholas Casey and Patricia Torres,6733
Natural News Editors,6679
Breitbart News,1340
Edwin Mora,2662
Katherine Rodriguez,5051
Vivian Yee,9306
Tara Siegel Bernard,8868
Activist Post,249
Matt Richtel,6101
Nicholas Confessore and Rachel Shorey,6742
Joel B. Pollak,4467
The Anti-Media,8900
Michael Patrick Leahy,6343
Warner Todd Huston,9354
Dylan Gwinn,2550
John Koblin,4523
Amy Moreno,631
Michael J. de la Merced,6311
admin,9487
Jeré Longman,4320
Ian Austen,3610
Jon Pareles,4584
"Glenn Thrush, Kate Kelly and Maggie Haberman",3226
Contributing Author,1866
Eric Striker,2837
Michael Forsythe and Chris Buckley,6302
David Stockman,2337
wmw_admin,9776
Dennis Overbye,2398
Mujib Mashal,6546
Trent Baker,9140
Editor,2645
Farhad Manjoo,2946
Nick Corasaniti and Maggie Haberman,6792
Ben Kew,1201
"Victor Mather, Doug Mills and Chang W. Lee",9249
beforeitsnews.com,9510
Geoffrey Grider,3147
T Steelman,8775
Zero Hedge,9472
The European Union Times,8909
Andrew Anglin,664
Colin Taylor,1845
Jason Horowitz,4196
Binyamin Appelbaum,1288
Ari Lieberman,947
Julie Hirschfeld Davis,4799
Nathan J. Robinson,6668
Dikran Arakelian (noreply@blogger.com),2422
Whitney Webb,9377
David Swanson,2341
Jonathan Soble,4649
Christopher D. Shea,1782
